user_id,event,timestamp,deposit_amount
1,sign_up,2025-07-24,
1,kyc_completed,2025-07-25,
1,first_deposit,2025-08-01,794.86
1,card_ordered,2025-08-04,
1,first_payment,2025-08-06,
1,app_opened,2025-09-16,
1,app_opened,2025-09-18,
1,app_opened,2025-10-20,
1,app_opened,2025-10-20,
1,app_opened,2025-09-30,
1,app_opened,2025-08-24,
1,app_opened,2025-09-22,
1,app_opened,2025-08-07,
1,app_opened,2025-11-09,
1,app_opened,2025-10-25,
1,app_opened,2025-08-20,
2,sign_up,2025-04-22,
2,kyc_completed,2025-04-22,
2,first_deposit,2025-04-27,1892.74
2,card_ordered,2025-05-01,
2,first_payment,2025-05-07,
2,app_opened,2025-07-22,
2,app_opened,2025-07-31,
2,app_opened,2025-05-09,
2,app_opened,2025-07-13,
2,app_opened,2025-08-07,
2,app_opened,2025-06-24,
2,app_opened,2025-07-07,
2,app_opened,2025-05-31,
2,app_opened,2025-05-09,
2,app_opened,2025-06-27,
2,app_opened,2025-06-16,
2,app_opened,2025-05-31,
2,app_opened,2025-07-29,
2,app_opened,2025-07-21,
3,sign_up,2025-04-27,
3,kyc_completed,2025-04-27,
3,first_deposit,2025-04-29,913.64
3,card_ordered,2025-05-03,
4,sign_up,2025-09-24,
4,kyc_completed,2025-09-24,
4,first_deposit,2025-09-28,2283.58
4,card_ordered,2025-10-03,
4,first_payment,2025-10-13,
4,app_opened,2026-01-06,
4,app_opened,2026-01-16,
4,app_opened,2025-11-27,
4,app_opened,2025-12-30,
4,app_opened,2025-11-21,
4,app_opened,2025-11-26,
4,app_opened,2025-10-20,
5,sign_up,2025-07-03,
6,sign_up,2025-09-22,
6,kyc_completed,2025-09-22,
6,first_deposit,2025-09-25,716.89
6,card_ordered,2025-09-28,
6,first_payment,2025-10-11,
6,app_opened,2025-11-06,
6,app_opened,2025-11-05,
6,app_opened,2025-12-06,
6,app_opened,2025-10-28,
6,app_opened,2025-11-30,
6,app_opened,2025-11-02,
6,app_opened,2025-12-30,
6,app_opened,2026-01-12,
6,app_opened,2025-10-31,
6,app_opened,2025-11-30,
6,app_opened,2025-11-14,
6,app_opened,2025-11-30,
6,app_opened,2025-11-29,
6,app_opened,2026-01-05,
6,app_opened,2025-12-15,
6,app_opened,2025-11-21,
6,app_opened,2025-11-07,
6,app_opened,2025-12-24,
6,app_opened,2025-10-21,
6,app_opened,2025-12-14,
7,sign_up,2025-03-02,
7,kyc_completed,2025-03-03,
7,first_deposit,2025-03-08,458.8
7,card_ordered,2025-03-12,
7,first_payment,2025-03-15,
7,app_opened,2025-05-25,
7,app_opened,2025-06-19,
7,app_opened,2025-05-18,
7,app_opened,2025-04-08,
7,app_opened,2025-04-03,
7,app_opened,2025-05-18,
7,app_opened,2025-03-20,
7,app_opened,2025-05-09,
7,app_opened,2025-05-21,
7,app_opened,2025-04-01,
7,app_opened,2025-06-12,
7,app_opened,2025-06-12,
7,app_opened,2025-05-12,
7,app_opened,2025-06-11,
7,app_opened,2025-03-26,
8,sign_up,2025-12-02,
9,sign_up,2025-07-10,
9,kyc_completed,2025-07-11,
9,first_deposit,2025-07-14,2198.33
9,card_ordered,2025-07-19,
10,sign_up,2025-02-20,
10,kyc_completed,2025-02-20,
10,first_deposit,2025-02-22,917.92
10,card_ordered,2025-02-26,
10,first_payment,2025-03-10,
10,app_opened,2025-04-29,
10,app_opened,2025-04-27,
10,app_opened,2025-05-24,
10,app_opened,2025-05-01,
10,app_opened,2025-05-26,
10,app_opened,2025-06-15,
10,app_opened,2025-05-01,
10,app_opened,2025-04-06,
10,app_opened,2025-05-02,
10,app_opened,2025-03-15,
10,app_opened,2025-05-14,
10,app_opened,2025-04-27,
10,app_opened,2025-05-09,
10,app_opened,2025-03-24,
10,app_opened,2025-03-11,
10,app_opened,2025-06-07,
10,app_opened,2025-05-01,
11,sign_up,2025-12-05,
11,kyc_completed,2025-12-07,
11,first_deposit,2025-12-09,1142.34
11,card_ordered,2025-12-14,
11,first_payment,2025-12-24,
11,app_opened,2026-02-08,
11,app_opened,2026-02-23,
11,app_opened,2025-12-29,
11,app_opened,2026-01-17,
11,app_opened,2026-01-30,
11,app_opened,2026-01-20,
11,app_opened,2026-01-17,
11,app_opened,2026-03-21,
11,app_opened,2025-12-25,
11,app_opened,2026-01-03,
12,sign_up,2025-02-19,
12,kyc_completed,2025-02-19,
12,first_deposit,2025-02-24,676.75
12,card_ordered,2025-02-25,
13,sign_up,2025-10-24,
13,kyc_completed,2025-10-25,
13,first_deposit,2025-10-29,218.97
13,card_ordered,2025-11-03,
14,sign_up,2025-03-10,
14,kyc_completed,2025-03-10,
14,first_deposit,2025-03-15,243.84
14,card_ordered,2025-03-18,
14,first_payment,2025-03-28,
14,app_opened,2025-05-13,
15,sign_up,2025-11-11,
15,kyc_completed,2025-11-13,
15,first_deposit,2025-11-18,1608.9
16,sign_up,2025-01-07,
17,sign_up,2025-03-11,
17,kyc_completed,2025-03-12,
17,first_deposit,2025-03-14,1322.68
18,sign_up,2025-12-13,
18,kyc_completed,2025-12-15,
18,first_deposit,2025-12-17,273.25
18,card_ordered,2025-12-20,
19,sign_up,2025-01-21,
19,kyc_completed,2025-01-23,
19,first_deposit,2025-01-30,36.78
19,card_ordered,2025-02-03,
19,first_payment,2025-02-13,
19,app_opened,2025-04-09,
19,app_opened,2025-04-08,
19,app_opened,2025-02-20,
20,sign_up,2025-05-20,
20,kyc_completed,2025-05-20,
20,first_deposit,2025-05-25,116.92
20,card_ordered,2025-05-27,
20,first_payment,2025-06-02,
20,app_opened,2025-08-03,
20,app_opened,2025-06-11,
21,sign_up,2025-02-05,
21,kyc_completed,2025-02-06,
21,first_deposit,2025-02-07,898.36
22,sign_up,2025-06-17,
22,kyc_completed,2025-06-18,
22,first_deposit,2025-06-22,157.59
22,card_ordered,2025-06-26,
22,first_payment,2025-07-04,
22,app_opened,2025-09-17,
22,app_opened,2025-09-03,
23,sign_up,2025-03-27,
23,kyc_completed,2025-03-27,
23,first_deposit,2025-03-29,245.91
23,card_ordered,2025-04-02,
23,first_payment,2025-04-17,
23,app_opened,2025-04-30,
23,app_opened,2025-04-19,
23,app_opened,2025-05-22,
23,app_opened,2025-07-17,
23,app_opened,2025-07-21,
23,app_opened,2025-07-15,
23,app_opened,2025-05-13,
23,app_opened,2025-06-16,
23,app_opened,2025-05-24,
23,app_opened,2025-06-15,
23,app_opened,2025-04-26,
23,app_opened,2025-05-08,
23,app_opened,2025-07-12,
